key_id,goal_id,tournament_id,tournament_name,match_id,match_name,match_date,stage_name,group_name,team_id,team_name,team_code,home_team,away_team,player_id,family_name,given_name,shirt_number,player_team_id,player_team_name,player_team_code,minute_label,minute_regulation,minute_stoppage,match_period,own_goal,penalty
1592,G-1592,WC-1998,1998 FIFA World Cup,M-1998-03,Italy v Chile,1998-06-11,group stage,Group B,T-39,Italy,ITA,1,0,P-07756,Vieri,Christian,21,T-39,Italy,ITA,10',10,0,first half,0,0
1595,G-1595,WC-1998,1998 FIFA World Cup,M-1998-03,Italy v Chile,1998-06-11,group stage,Group B,T-39,Italy,ITA,1,0,P-09710,Baggio,Roberto,18,T-39,Italy,ITA,84',84,0,second half,0,1
1628,G-1628,WC-1998,1998 FIFA World Cup,M-1998-19,Chile v Austria,1998-06-17,group stage,Group B,T-05,Austria,AUT,0,1,P-02973,Vastić,Ivica,9,T-05,Austria,AUT,90'+2',90,2,"second half, stoppage time",0,0
1666,G-1666,WC-1998,1998 FIFA World Cup,M-1998-33,Chile v Cameroon,1998-06-23,group stage,Group B,T-11,Cameroon,CMR,0,1,P-01810,M'Boma,Patrick,10,T-11,Cameroon,CMR,56',56,0,second half,0,0
1712,G-1712,WC-1998,1998 FIFA World Cup,M-1998-50,Brazil v Chile,1998-06-27,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-09892,Sampaio,César,5,T-09,Brazil,BRA,11',11,0,first half,0,0
1713,G-1713,WC-1998,1998 FIFA World Cup,M-1998-50,Brazil v Chile,1998-06-27,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-09892,Sampaio,César,5,T-09,Brazil,BRA,26',26,0,first half,0,0
1714,G-1714,WC-1998,1998 FIFA World Cup,M-1998-50,Brazil v Chile,1998-06-27,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-08490,Ronaldo,not applicable,9,T-09,Brazil,BRA,45'+3',45,3,"first half, stoppage time",0,1
1716,G-1716,WC-1998,1998 FIFA World Cup,M-1998-50,Brazil v Chile,1998-06-27,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-08490,Ronaldo,not applicable,9,T-09,Brazil,BRA,72',72,0,second half,0,0
2162,G-2162,WC-2010,2010 FIFA World Cup,M-2010-47,Chile v Spain,2010-06-25,group stage,Group H,T-71,Spain,ESP,0,1,P-03504,Villa,David,7,T-71,Spain,ESP,24',24,0,first half,0,0
2163,G-2163,WC-2010,2010 FIFA World Cup,M-2010-47,Chile v Spain,2010-06-25,group stage,Group H,T-71,Spain,ESP,0,1,P-02250,Iniesta,Andrés,6,T-71,Spain,ESP,37',37,0,first half,0,0
2183,G-2183,WC-2010,2010 FIFA World Cup,M-2010-54,Brazil v Chile,2010-06-28,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-09822,Juan,not applicable,4,T-09,Brazil,BRA,35',35,0,first half,0,0
2184,G-2184,WC-2010,2010 FIFA World Cup,M-2010-54,Brazil v Chile,2010-06-28,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-07106,Fabiano,Luís,9,T-09,Brazil,BRA,38',38,0,first half,0,0
2185,G-2185,WC-2010,2010 FIFA World Cup,M-2010-54,Brazil v Chile,2010-06-28,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-02023,Robinho,not applicable,11,T-09,Brazil,BRA,59',59,0,second half,0,0
2222,G-2222,WC-2014,2014 FIFA World Cup,M-2014-04,Chile v Australia,2014-06-13,group stage,Group B,T-04,Australia,AUS,0,1,P-06889,Cahill,Tim,4,T-04,Australia,AUS,35',35,0,first half,0,0
2306,G-2306,WC-2014,2014 FIFA World Cup,M-2014-34,Netherlands v Chile,2014-06-23,group stage,Group B,T-46,Netherlands,NLD,1,0,P-06473,Fer,Leroy,18,T-46,Netherlands,NLD,77',77,0,second half,0,0
2307,G-2307,WC-2014,2014 FIFA World Cup,M-2014-34,Netherlands v Chile,2014-06-23,group stage,Group B,T-46,Netherlands,NLD,1,0,P-05448,Depay,Memphis,21,T-46,Netherlands,NLD,90'+2',90,2,"second half, stoppage time",0,0
2345,G-2345,WC-2014,2014 FIFA World Cup,M-2014-49,Brazil v Chile,2014-06-28,round of 16,not applicable,T-09,Brazil,BRA,1,0,P-04256,Luiz,David,4,T-09,Brazil,BRA,18',18,0,first half,0,0
