keyid,tournamentid,tournamentname,stagenumber,stagename,groupname,position,teamid,teamname,teamcode,played,wins,draws,losses,goalsfor,goalsagainst,goaldifference,points,advanced
2,WC-1930,1930 FIFA World Cup,1,group stage,Group 1,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,0
20,WC-1950,1950 FIFA World Cup,1,first round,Group 2,3,T-13,Chile,CHL,3,1,0,2,5,6,-1,2,0
68,WC-1962,1962 FIFA World Cup,1,group stage,Group 2,2,T-13,Chile,CHL,3,2,0,1,5,3,2,4,1
94,WC-1966,1966 FIFA World Cup,1,group stage,Group 4,4,T-13,Chile,CHL,3,0,1,2,2,5,-3,1,0
113,WC-1974,1974 FIFA World Cup,1,first group stage,Group 1,3,T-13,Chile,CHL,3,0,2,1,1,2,-1,2,0
166,WC-1982,1982 FIFA World Cup,1,first group stage,Group 2,4,T-13,Chile,CHL,3,0,0,3,3,8,-5,0,0
272,WC-1998,1998 FIFA World Cup,1,group stage,Group B,2,T-13,Chile,CHL,3,0,3,0,4,4,0,3,1
392,WC-2010,2010 FIFA World Cup,1,group stage,Group H,2,T-13,Chile,CHL,3,2,0,1,3,2,1,6,1
400,WC-2014,2014 FIFA World Cup,1,group stage,Group B,2,T-13,Chile,CHL,3,2,0,1,5,3,2,6,1
